Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB▼,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,12,2019-05-19,24-164,MIL,@,TOR,L (-6),1,44:41,5,16,.313,0,3,.000,2,7,.286,3,20,23,7,1,4,8,6,12,7.2,+3
2,1,2019-04-14,24-129,MIL,,DET,W (+35),1,23:28,9,17,.529,1,5,.200,5,12,.417,3,14,17,4,1,0,1,1,24,21.6,+30
3,11,2019-05-17,24-162,MIL,,TOR,W (+22),1,34:47,10,20,.500,1,4,.250,9,12,.750,4,13,17,5,1,2,4,2,30,26.6,+17
4,7,2019-05-03,24-148,MIL,@,BOS,W (+7),1,39:05,8,13,.615,0,1,.000,16,22,.727,0,13,13,8,2,3,5,5,32,30.3,+7
5,8,2019-05-06,24-151,MIL,@,BOS,W (+12),1,34:28,15,22,.682,2,5,.400,7,10,.700,5,11,16,4,1,1,2,4,39,36.1,+4
6,10,2019-05-15,24-160,MIL,,TOR,W (+8),1,37:15,7,16,.438,1,3,.333,9,12,.750,4,10,14,6,2,3,5,1,24,23.1,+8
7,2,2019-04-17,24-132,MIL,,DET,W (+21),1,29:50,11,18,.611,1,3,.333,3,5,.600,2,10,12,4,0,2,5,4,26,19.0,+16
8,15,2019-05-25,24-170,MIL,@,TOR,L (-6),1,40:32,7,18,.389,2,5,.400,5,10,.500,3,8,11,4,2,3,2,4,21,17.0,+3
9,13,2019-05-21,24-166,MIL,@,TOR,L (-18),1,34:12,9,17,.529,1,3,.333,6,10,.600,2,8,10,5,1,3,4,3,25,20.3,-19
10,9,2019-05-08,24-153,MIL,,BOS,W (+25),1,31:07,8,14,.571,0,2,.000,4,5,.800,0,8,8,8,2,2,4,3,20,19.2,+35
11,6,2019-04-30,24-145,MIL,,BOS,W (+21),1,31:02,7,16,.438,2,4,.500,13,18,.722,3,7,10,4,2,1,1,2,29,26.5,+20
12,5,2019-04-28,24-143,MIL,,BOS,L (-22),1,34:18,7,21,.333,3,5,.600,5,10,.500,1,7,8,2,0,1,2,1,22,10.6,-24
13,4,2019-04-22,24-137,MIL,@,DET,W (+23),1,31:55,12,23,.522,2,6,.333,15,20,.750,2,7,9,3,1,4,1,2,41,35.3,+22
14,3,2019-04-20,24-135,MIL,@,DET,W (+16),1,27:59,5,13,.385,0,3,.000,4,6,.667,4,6,10,3,1,0,4,5,14,7.8,-7
15,14,2019-05-23,24-168,MIL,,TOR,L (-6),1,39:15,9,18,.500,2,3,.667,4,9,.444,1,5,6,6,0,1,2,5,24,16.1,-2
