Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2018-04-15,28-232,HOU,,MIN,W (+3),1,40:55,15,26,.577,7,12,.583,7,9,.778,2,2,4,8,2,0,3,2,44,36.8,+5
2,2,2018-04-18,28-235,HOU,,MIN,W (+20),1,30:46,2,18,.111,1,10,.100,7,8,.875,0,4,4,7,3,3,3,2,12,7.2,+1
3,3,2018-04-21,28-238,HOU,@,MIN,L (-16),1,36:04,9,21,.429,3,8,.375,8,10,.800,0,7,7,7,1,0,4,2,29,20.3,-3
4,4,2018-04-23,28-240,HOU,@,MIN,W (+19),1,33:15,12,26,.462,5,11,.455,7,7,1.000,0,4,4,3,4,1,1,4,36,28.0,+21
5,5,2018-04-25,28-242,HOU,,MIN,W (+18),1,37:36,8,21,.381,4,11,.364,4,4,1.000,1,4,5,12,2,2,3,2,24,22.4,+16
6,6,2018-04-29,28-246,HOU,,UTA,W (+14),1,36:55,12,26,.462,7,12,.583,10,11,.909,1,7,8,7,1,0,3,2,41,32.1,+15
7,7,2018-05-02,28-249,HOU,,UTA,L (-8),1,36:29,9,22,.409,2,10,.200,12,13,.923,2,4,6,11,2,0,2,5,32,28.1,0
8,8,2018-05-04,28-251,HOU,@,UTA,W (+21),1,30:29,8,17,.471,2,8,.250,7,7,1.000,1,3,4,12,2,1,1,1,25,27.6,+29
9,9,2018-05-06,28-253,HOU,@,UTA,W (+13),1,36:24,8,22,.364,1,7,.143,7,8,.875,0,4,4,3,4,0,8,3,24,9.5,+16
10,10,2018-05-08,28-255,HOU,,UTA,W (+10),1,34:38,7,22,.318,1,7,.143,3,4,.750,1,3,4,4,2,0,3,3,18,7.2,+7
11,11,2018-05-14,28-261,HOU,,GSW,L (-13),1,35:08,14,24,.583,5,9,.556,8,10,.800,1,3,4,7,1,0,4,4,41,30.9,-7
12,12,2018-05-16,28-263,HOU,,GSW,W (+22),1,33:45,9,24,.375,3,15,.200,6,6,1.000,0,10,10,3,1,0,4,3,27,14.7,+22
13,13,2018-05-20,28-267,HOU,@,GSW,L (-41),1,32:33,7,16,.438,2,6,.333,4,5,.800,0,5,5,9,1,1,4,2,20,15.9,-19
14,14,2018-05-22,28-269,HOU,@,GSW,W (+3),1,43:26,11,26,.423,3,12,.250,5,5,1.000,2,2,4,4,3,2,2,3,30,22.2,-5
15,15,2018-05-24,28-271,HOU,,GSW,W (+4),1,38:57,5,21,.238,0,11,.000,9,9,1.000,0,3,3,4,2,0,6,2,19,5.2,+8
16,16,2018-05-26,28-273,HOU,@,GSW,L (-29),1,40:26,10,24,.417,4,12,.333,8,9,.889,2,5,7,9,3,0,9,4,32,20.4,-19
17,17,2018-05-28,28-275,HOU,,GSW,L (-9),1,42:51,12,29,.414,2,13,.154,6,8,.750,1,5,6,6,4,1,5,2,32,21.0,-13
