Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2019-04-13,27-288,TOR,,ORL,L (-3),1,33:05,10,18,.556,3,5,.600,2,3,.667,1,5,6,3,0,0,4,3,25,15.1,-2
2,2,2019-04-16,27-291,TOR,,ORL,W (+29),1,33:09,15,22,.682,4,8,.500,3,3,1.000,0,4,4,4,2,0,1,3,37,31.4,+37
3,3,2019-04-19,27-294,TOR,@,ORL,W (+5),1,37:24,5,19,.263,0,3,.000,6,7,.857,2,8,10,4,1,0,6,3,16,4.7,+1
4,4,2019-04-21,27-296,TOR,@,ORL,W (+22),1,34:43,12,20,.600,2,5,.400,8,9,.889,3,3,6,2,2,2,1,3,34,30.0,+20
5,5,2019-04-23,27-298,TOR,,ORL,W (+19),1,31:58,8,11,.727,5,5,1.000,6,6,1.000,3,4,7,2,1,0,2,1,27,25.8,+38
6,6,2019-04-27,27-302,TOR,,PHI,W (+13),1,38:12,16,23,.696,3,7,.429,10,11,.909,0,11,11,2,2,1,2,1,45,39.9,+26
7,7,2019-04-29,27-304,TOR,,PHI,L (-5),1,41:51,13,24,.542,3,10,.300,6,7,.857,3,4,7,6,1,0,1,2,35,29.7,+4
8,8,2019-05-02,27-307,TOR,@,PHI,L (-21),1,36:41,13,22,.591,2,4,.500,5,5,1.000,3,1,4,3,0,1,5,2,33,22.2,-11
9,9,2019-05-05,27-310,TOR,@,PHI,W (+5),1,42:49,13,20,.650,5,7,.714,8,12,.667,3,11,14,5,0,0,7,2,39,29.7,+7
10,10,2019-05-07,27-312,TOR,,PHI,W (+36),1,35:30,7,16,.438,0,4,.000,7,8,.875,2,11,13,4,2,0,0,1,21,21.3,+20
11,11,2019-05-09,27-314,TOR,@,PHI,L (-11),1,39:36,9,20,.450,0,4,.000,11,12,.917,1,11,12,5,1,0,4,2,29,21.9,-10
12,12,2019-05-12,27-317,TOR,,PHI,W (+2),1,43:17,16,39,.410,2,9,.222,7,8,.875,4,4,8,3,3,0,4,1,41,24.4,-2
13,13,2019-05-15,27-320,TOR,@,MIL,L (-8),1,42:13,10,26,.385,1,5,.200,10,10,1.000,1,8,9,2,3,0,3,2,31,20.5,-4
14,14,2019-05-17,27-322,TOR,@,MIL,L (-22),1,37:48,10,18,.556,1,4,.250,10,10,1.000,1,7,8,2,0,1,2,4,31,23.7,-19
15,15,2019-05-19,27-324,TOR,,MIL,W (+6),1,52:08,11,25,.440,2,4,.500,12,13,.923,2,7,9,5,2,1,5,2,36,26.4,+10
16,16,2019-05-21,27-326,TOR,,MIL,W (+18),1,34:06,6,13,.462,1,3,.333,6,8,.750,2,5,7,1,4,2,2,2,19,17.7,+16
17,17,2019-05-23,27-328,TOR,@,MIL,W (+6),1,40:17,11,25,.440,5,8,.625,8,9,.889,3,4,7,9,2,0,1,4,35,30.5,+3
18,18,2019-05-25,27-330,TOR,,MIL,W (+6),1,41:26,9,22,.409,1,8,.125,8,11,.727,4,13,17,7,2,2,6,3,27,21.8,+7
19,19,2019-05-30,27-335,TOR,,GSW,W (+9),1,43:03,5,14,.357,3,6,.500,10,12,.833,1,7,8,5,1,0,2,3,23,18.5,+11
20,20,2019-06-02,27-338,TOR,,GSW,L (-5),1,38:43,8,20,.400,2,9,.222,16,16,1.000,5,9,14,3,1,1,5,1,34,27.8,-14
21,21,2019-06-05,27-341,TOR,@,GSW,W (+14),1,38:25,9,17,.529,2,6,.333,10,11,.909,2,5,7,6,2,2,4,3,30,26.6,+6
22,22,2019-06-07,27-343,TOR,@,GSW,W (+13),1,40:34,11,22,.500,5,9,.556,9,9,1.000,1,11,12,2,4,1,0,4,36,33.5,+13
23,23,2019-06-10,27-346,TOR,,GSW,L (-1),1,41:24,9,24,.375,2,7,.286,6,8,.750,6,6,12,6,2,2,5,0,26,20.6,+1
24,24,2019-06-13,27-349,TOR,@,GSW,W (+4),1,41:05,7,16,.438,1,5,.200,7,8,.875,1,5,6,3,2,1,2,4,22,16.6,-2
